Date,open,high,low,close,adjclose,volume,ingested_at_utc
18-08-2020,163500,168000,155500,158000,126639.1016,4328953,2026-02-19 06:47:45.287325+00:00
19-08-2020,158000,165500,158000,164500,131848.9219,3298626,2026-02-19 06:47:45.287325+00:00
20-08-2020,163000,165500,154000,155000,124234.5391,3630223,2026-02-19 06:47:45.287325+00:00
21-08-2020,158000,161500,154000,156000,125036.0781,3348383,2026-02-19 06:47:45.287325+00:00
24-08-2020,157500,163000,152500,161500,129444.375,2904566,2026-02-19 06:47:45.287325+00:00
25-08-2020,167500,171000,165000,166000,133051.1719,3304089,2026-02-19 06:47:45.287325+00:00
26-08-2020,166500,170000,163000,167500,134253.5,2638394,2026-02-19 06:47:45.287325+00:00
27-08-2020,169000,169500,163500,163500,131047.3984,2427108,2026-02-19 06:47:45.287325+00:00
28-08-2020,165500,176500,164500,172000,137860.2813,5571784,2026-02-19 06:47:45.287325+00:00
31-08-2020,177500,182000,174500,176500,141467.0938,5275614,2026-02-19 06:47:45.287325+00:00
01-09-2020,178500,181000,175500,180000,144272.3438,2704194,2026-02-19 06:47:45.287325+00:00
02-09-2020,178000,178500,173500,176000,141066.3125,2825239,2026-02-19 06:47:45.287325+00:00
03-09-2020,177500,177500,174000,176500,141467.0938,1841550,2026-02-19 06:47:45.287325+00:00
04-09-2020,167500,174000,167500,172500,138261.0313,2886867,2026-02-19 06:47:45.287325+00:00
07-09-2020,172500,173000,169000,170000,136257.25,1516649,2026-02-19 06:47:45.287325+00:00
08-09-2020,171000,172500,168000,168000,134654.2031,1933504,2026-02-19 06:47:45.287325+00:00
09-09-2020,166500,172000,165500,167500,134253.5,1685225,2026-02-19 06:47:45.287325+00:00
10-09-2020,170500,171500,168000,169000,135455.7031,1326177,2026-02-19 06:47:45.287325+00:00
11-09-2020,167500,171500,167500,171500,137459.5156,1538378,2026-02-19 06:47:45.287325+00:00
14-09-2020,174500,180000,174000,180000,144272.3438,3145262,2026-02-19 06:47:45.287325+00:00
15-09-2020,184000,185000,178500,179000,143470.875,2644009,2026-02-19 06:47:45.287325+00:00
16-09-2020,179500,186000,177000,183500,147077.6563,3401835,2026-02-19 06:47:45.287325+00:00
17-09-2020,185500,191500,183000,184000,147478.4219,4383978,2026-02-19 06:47:45.287325+00:00
18-09-2020,184000,186000,179000,181000,145073.8906,2584103,2026-02-19 06:47:45.287325+00:00
21-09-2020,181000,188500,180500,185000,148279.9219,3133848,2026-02-19 06:47:45.287325+00:00
22-09-2020,185000,186000,178000,179500,143871.625,3042046,2026-02-19 06:47:45.287325+00:00
23-09-2020,183000,183000,170000,179500,143871.625,3481682,2026-02-19 06:47:45.287325+00:00
24-09-2020,173500,176000,171000,171500,137459.5156,2841908,2026-02-19 06:47:45.287325+00:00
25-09-2020,172500,174000,166000,170000,136257.25,2076987,2026-02-19 06:47:45.287325+00:00
28-09-2020,173000,176000,172000,175500,140665.5469,1374871,2026-02-19 06:47:45.287325+00:00
29-09-2020,178500,180000,177500,178500,143070.0938,1475249,2026-02-19 06:47:45.287325+00:00
05-10-2020,183000,187500,181500,187000,149882.9531,2732820,2026-02-19 06:47:45.287325+00:00
06-10-2020,188000,188500,181500,182500,146276.1563,2143171,2026-02-19 06:47:45.287325+00:00
07-10-2020,180000,183500,178500,183000,146676.875,1512423,2026-02-19 06:47:45.287325+00:00
08-10-2020,185500,186000,180000,180500,144673.125,1750474,2026-02-19 06:47:45.287325+00:00
12-10-2020,178000,181500,176000,180000,144272.3438,1655359,2026-02-19 06:47:45.287325+00:00
13-10-2020,181000,181500,176000,179000,143470.875,1728432,2026-02-19 06:47:45.287325+00:00
14-10-2020,181000,183500,177000,178000,142669.3594,1930046,2026-02-19 06:47:45.287325+00:00
